playerprofile,position,retiredOrNot,lastTransferFee,retirementAge,yearsPlayedOnLastTeam
Samuel Kuffour,Centre-Back,Retired,-,34,1
Cesare Bovo,Centre-Back,Retired,-,36,1
Philippe Mexès,Centre-Back,Retired,free transfer,34,5
Dimitrios Eleftheropoulos,Goalkeeper,Retired,free transfer,36,1
Doni,Goalkeeper,Retired,free transfer,34,0
Matteo Momentè,Centre-Forward,Olginatese,free transfer,35,1
Julio Cruz,Centre-Forward,Retired,free transfer,36,1
Obafemi Martins,Centre-Forward,Retired,free transfer,37,1
Adriano,Centre-Forward,Retired,-,34,0
Álvaro Recoba,Second Striker,Retired,free transfer,39,4
Ilario Aloe,Right Winger,Without Club,-,29,1
Andy van der Meyde,Right Winger,Retired,-,33,0
Tijani Belaid,Attacking Midfield,Without Club,free transfer,35,0
Abdoulaye Diarra,Left Midfield,Mil. Giarmata,-,28,0
Kily González,Left Midfield,Retired,free transfer,37,1
Santiago Solari,Left Midfield,Retired,free transfer,35,1
Juan Sebastián Verón,Central Midfield,Retired,-,42,0
Georgios Karagounis,Central Midfield,Retired,free transfer,37,2
David Pizarro,Central Midfield,Retired,-,40,2
Dejan Stanković,Central Midfield,Retired,€4.00m,35,9
Cristiano Zanetti,Defensive Midfield,Retired,?,35,1
Esteban Cambiasso,Defensive Midfield,Retired,free transfer,37,2
Daniel Semenzato,Right-Back,Viterbese,free transfer,35,2
Zé Maria,Right-Back,Retired,-,35,0
Javier Zanetti,Right-Back,Retired,€6.50m,41,19
Simone Fautario,Left-Back,Retired,free transfer,32,0
Giuseppe Favalli,Left-Back,Retired,free transfer,38,4
Nicolas Giani,Centre-Back,Without Club,free transfer,36,1
Siniša Mihajlović,Centre-Back,Retired,free transfer,37,2
Leonardo Bonucci,Centre-Back,Juventus,€42.00m,31,1
Marco Andreolli,Centre-Back,Retired,free transfer,33,0
Marco Materazzi,Centre-Back,Retired,-,43,2
Iván Córdoba,Centre-Back,Retired,€14.00m,36,12
Wálter Samuel,Centre-Back,Retired,free transfer,38,2
Alex Cordaz,Goalkeeper,Inter,free transfer,38,6
Francesco Toldo,Goalkeeper,Retired,€26.50m,38,9
Júlio César,Goalkeeper,Retired,-,39,0
Matteo Ardemagni,Centre-Forward,Siena,End of loan,35,1
Christian Vieri,Centre-Forward,Retired,free transfer,36,1
Filippo Inzaghi,Centre-Forward,Retired,€36.15m,39,11
Andriy Shevchenko,Centre-Forward,Retired,free transfer,36,3
Rui Costa,Attacking Midfield,Retired,free transfer,36,2
Kaká,Attacking Midfield,Retired,End of loan,36,3
Serginho,Left Midfield,Retired,€8.90m,37,9
Massimo Ambrosini,Central Midfield,Retired,free transfer,37,1
Clarence Seedorf,Central Midfield,Retired,free transfer,38,2
Gennaro Gattuso,Central Midfield,Retired,free transfer,35,1
Davide Di Gennaro,Defensive Midfield,Portici,-,34,0
Johann Vogel,Defensive Midfield,Retired,-,35,0
Andrea Pirlo,Defensive Midfield,Retired,free transfer,39,3
Dario Simic,Right-Back,Retired,free transfer,35,0
Cafú,Right-Back,Retired,-,39,0
Luca Antonelli,Left-Back,Miami FC,-,34,1
Paolo Maldini,Left-Back,Retired,-,41,24
Marek Jankulovski,Left-Back,Retired,-,35,1
Elia Legati,Centre-Back,Feralpisalò,free transfer,32,3
Lino Marzorati,Centre-Back,Without Club,free transfer,36,2
Alessandro Costacurta,Centre-Back,Retired,End of loan,41,20
Kakhaber Kaladze,Centre-Back,Retired,free transfer,34,2
Jaap Stam,Centre-Back,Retired,€3.00m,35,1
Alessandro Nesta,Centre-Back,Retired,-,39,1
Davide Facchin,Goalkeeper,Retired,free transfer,35,3
Valerio Fiori,Goalkeeper,Retired,?,39,9
Zeljko Kalac,Goalkeeper,Retired,free transfer,37,1
Dida,Goalkeeper,Retired,free transfer,43,2
Michele Paolucci,Centre-Forward,Civitanovese,-,36,2
Fabrizio Miccoli,Centre-Forward,Retired,free transfer,37,1
Adrian Mutu,Centre-Forward,Retired,free transfer,37,0
Zlatan Ibrahimović,Centre-Forward,AC Milan,free transfer,39,2
David Trézéguet,Centre-Forward,Retired,free transfer,38,1
Samon Reider Rodríguez,Second Striker,Livorno,free transfer,34,0
Alessandro Del Piero,Second Striker,Retired,-,41,1
Pavel Nedved,Left Midfield,Retired,€45.00m,37,8
Mauro Camoranesi,Right Midfield,Retired,free transfer,38,2
Claudio Marchisio,Central Midfield,Retired,-,33,0
Alessio Tacchinardi,Defensive Midfield,Retired,free transfer,33,1
Giuliano Giannichedda,Defensive Midfield,Retired,free transfer,34,1
Émerson,Defensive Midfield,Retired,-,33,0
Patrick Vieira,Defensive Midfield,Retired,free transfer,35,1
Alessandro Birindelli,Right-Back,Retired,free transfer,36,1
Gianluca Zambrotta,Right-Back,Retired,-,36,0
Domenico Criscito,Left-Back,Toronto,free transfer,35,4
Gianluca Pessotto,Left-Back,Retired,€3.60m,36,11
Federico Balzaretti,Left-Back,Retired,€4.50m,33,3
Giorgio Chiellini,Centre-Back,LAFC,€7.70m,38,17
Fabio Cannavaro,Centre-Back,Retired,-,39,0
Andrea Pozzato,Goalkeeper,Briga,-,28,3
Landry Bonnefoi,Goalkeeper,Retired,free transfer,36,1
Christian Abbiati,Goalkeeper,Retired,End of loan,39,8
Gianluigi Buffon,Goalkeeper,Parma,free transfer,43,2
Gertjan Tamerus,Centre-Forward,Retired,free transfer,38,6
Sota Hirayama,Centre-Forward,Retired,?,33,1
Marc Höcher,Right Winger,Retired,-,34,1
Stefaan Tanghe,Attacking Midfield,Retired,free transfer,40,2
Bernard Hofstede,Central Midfield,Retired,free transfer,36,2
Kwame Quansah,Defensive Midfield,Retired,-,35,1
Remon de Vries,midfield,Retired,-,36,1
Mark Looms,Left-Back,Retired,free transfer,33,2
Ragnar Klavan,Centre-Back,Paide,€1.52m,36,3
Marnix Smit,Centre-Back,Retired,free transfer,36,3
Jan Wuytens,Centre-Back,Retired,-,33,1
Rudy Jansen,Centre-Back,Retired,free transfer,34,2
Chris Wijnterp,Goalkeeper,Retired,free transfer,29,3
Brian van Loo,Goalkeeper,Retired,free transfer,38,1
Martin Pieckenhagen,Goalkeeper,Retired,free transfer,40,1
Fouad Makhout,Centre-Forward,Retired,?,31,3
Danny Guijt,Attacking Midfield,Katwijk B,free transfer,35,3
Tim Smolders,Central Midfield,Retired,free transfer,38,3
Frits Paap,Right-Back,Unknown,free transfer,31,2
Sidney Lammens,Right-Back,Retired,free transfer,34,1
Björn Daelemans,Right-Back,Retired,?,33,1
Nuelson Wau,Right-Back,Retired,?,33,1
Melvin Fleur,Left-Back,Retired,free transfer,28,1
Robert Molenaar,Centre-Back,Retired,free transfer,38,4
José Fortes Rodriguez,Centre-Back,Retired,free transfer,34,1
Adem Yaran,Defender,Unknown,free transfer,21,0
Erwin Friebel,Goalkeeper,Retired,free transfer,33,1
Mark Volders,Goalkeeper,Retired,-,35,2
Marvin Emnes,Centre-Forward,Without Club,-,33,0
Ivan Tsvetkov,Centre-Forward,Retired,-,38,0
Dieter Van Tornhout,Centre-Forward,SK Berlare,-,34,2
Istvan Bakx,Attacking Midfield,Retired,free transfer,36,2
Jason Oost,Attacking Midfield,Retired,free transfer,35,1
Edwin van Bueren,Central Midfield,Retired,free transfer,35,3
Nathan Rutjes,Defensive Midfield,Retired,free transfer,35,1
Anthony Obodai,Defensive Midfield,Retired,free transfer,34,1
Mehmet Kerem Yilmaz,midfield,Retired,free transfer,29,2
Marciano Bruma,Right-Back,Zwarte Pijl,-,36,1
Davy De fauw,Right-Back,Retired,free transfer,39,4
Nebojsa Gudelj,Left-Back,Retired,free transfer,38,1
Tom Zoontjes,Centre-Back,Unknown,free transfer,32,8
Wouter Gudde,Centre-Back,Retired,free transfer,30,1
Danny Schenkel,Centre-Back,Retired,free transfer,37,1
René Ponk,Goalkeeper,Retired,free transfer,37,1
Frank Kooiman,Goalkeeper,Retired,free transfer,38,2
Robbin Kieft,Centre-Forward,sv De Meteoor,free transfer,32,7
Glen Salmon,Centre-Forward,Retired,free transfer,34,4
Erik Nevland,Centre-Forward,Retired,free transfer,36,3
Koen van de Laak,Attacking Midfield,Retired,free transfer,32,2
Yuri Cornelisse,Right Midfield,Retired,?,35,3
Bruno Cazarine,Centre-Forward,Retired,free transfer,29,2
Pedro Santos,Central Midfield,Retired,free transfer,35,3
Gilmar,Defensive Midfield,Retired,?,37,5
Pedro Bessa,Right-Back,Retired,?,34,1
Carlitos,Right-Back,Retired,free transfer,37,1
João Paulo,Centre-Back,Retired,free transfer,26,0
Pedro Franco,Centre-Back,Retired,free transfer,36,1
Edinho,Centre-Forward,Without Club,free transfer,40,1
Renato Queirós,Right Winger,Retired,free transfer,35,2
Cristiano,Left Winger,Jataiense-GO,-,38,3
Rui Dolores,Left Winger,Retired,-,38,1
Júnior,Attacking Midfield,Retired,-,43,2
Edson Nobre,Right Midfield,Retired,?,32,1
Pedrinha,Central Midfield,Retired,free transfer,35,2
Paulo Sousa,Defensive Midfield,Retired,?,36,3
Primo,Right-Back,Retired,free transfer,39,1
Fredy,Left-Back,Retired,?,32,1
Luiz Carlos,Centre-Back,Retired,free transfer,35,2
Tiago Valente,Centre-Back,Without Club,free transfer,37,1
José Fonte,Centre-Back,LOSC Lille,€5.57m,34,0
Pinho,Goalkeeper,Retired,free transfer,40,1
Pedro Correia,Goalkeeper,Retired,-,35,16
Hélder Guedes,Centre-Forward,Retired,-,34,1
Krum Bibishkov,Centre-Forward,Mississauga F.,free transfer,36,1
Zé Rui,Left Winger,Moimenta Dão,free transfer,39,2
Juninho Petrolina,Attacking Midfield,Retired,?,40,1
Fernando Aguiar,Defensive Midfield,Retired,-,42,1
Luís Dias,Right-Back,Retired,free transfer,34,2
Celso,Right-Back,Retired,?,35,0
Pedro Moreira,Right-Back,Retired,?,36,10
Kelly Berville,Left-Back,Retired,free transfer,33,1
Weligton,Centre-Back,Retired,€500Th.,38,9
Odair,Centre-Back,Retired,?,38,2
Nuno Santos,Goalkeeper,Retired,?,37,1
Vinícius,Goalkeeper,Without Club,?,29,2
Anselmo,Centre-Forward,Retired,-,33,1
Démé N'Diaye,Left Winger,Saint-Nicolas,-,35,1
Rafael Ledesma,Attacking Midfield,Without Club,-,38,1
Bruno Santos,Attacking Midfield,Retired,-,28,1
Rui Borges,Attacking Midfield,Retired,free transfer,36,1
Rui Duarte,Attacking Midfield,Retired,-,37,0
Jordão,Defensive Midfield,Retired,-,36,3
Eusébio,Left-Back,Retired,free transfer,33,1
Carlos,Centre-Back,Retired,?,34,0
Pedro Simões,Centre-Back,Retired,-,34,0
Hugo Cardoso,Goalkeeper,Esp. Lagos,free transfer,35,1
Paulo Lopes,Goalkeeper,Retired,free transfer,40,6
Bruno Vale,Goalkeeper,Retired,free transfer,37,1
Philip Chidi Onyemah,Centre-Forward,Retired,free transfer,35,1
Ladji Keita,Centre-Forward,Retired,?,32,0
Augusto Gama,Right Winger,Retired,?,37,15
Evandro,Left Winger,Retired,?,37,1
Agostinho,Left Winger,Retired,free transfer,37,1
Diego,Attacking Midfield,Unknown,free transfer,31,2
Mozer,Central Midfield,Retired,-,38,1
Darko Anic,Central Midfield,Retired,free transfer,33,1
Niquinha,Central Midfield,Retired,?,38,12
Vítor Gomes,Defensive Midfield,Rio Ave FC,free transfer,33,2
Delson,Defensive Midfield,Retired,free transfer,35,1
Zé Gomes,Right-Back,Retired,free transfer,37,1
Milhazes,Left-Back,Retired,free transfer,37,1
Bruno Mendes,Centre-Back,Retired,?,34,9
André Vilas Boas,Centre-Back,Retired,free transfer,34,6
Danielson,Centre-Back,FC Maia Lidador,free transfer,40,2
Adriano,Goalkeeper,CA Valdevez,free transfer,26,1
Miguel Mora,Goalkeeper,Retired,?,36,7
Modou Sougou,Right Winger,Retired,free transfer,35,2
Silvestre Varela,Left Winger,FC Porto B,-,36,2
Costinha,Attacking Midfield,Retired,?,28,0
Bruno Ribeiro,Left Midfield,Retired,End of loan,35,0
Carlitos,Left Midfield,Retired,€600Th.,37,5
Julien Fernandes,Central Midfield,Ugento,free transfer,37,1
Sandro Mendes,Defensive Midfield,Retired,free transfer,35,1
Binho,Defensive Midfield,Retired,?,37,1
Ricardo Chaves,Defensive Midfield,Retired,free transfer,39,1
Siramana Dembélé,Defensive Midfield,Retired,free transfer,32,1
Janício,Right-Back,Retired,-,37,2
Adalto,Left-Back,Retired,-,33,1
Madior,Centre-Back,ES FC Malley LS,free transfer,39,3
Auri,Centre-Back,Retired,free transfer,37,1
Rubinho,Goalkeeper,Retired,-,37,1
Fabien Farnolle,Goalkeeper,Retired,-,37,1
Marco Tábuas,Goalkeeper,Retired,?,34,1
Leandro Netto,Centre-Forward,Retired,free transfer,37,1
Carlos Carneiro,Centre-Forward,Retired,?,36,0
Nandinho,Right Winger,Retired,free transfer,34,0
Carlitos,Right Winger,Retired,free transfer,34,1
José Williams,Left Winger,Retired,free transfer,36,1
Mateus,Left Winger,Torreense,-,37,1
Luís Coentrão,Attacking Midfield,Retired,free transfer,36,1
Filipe Gouveia,Left Midfield,Retired,?,37,1
Rivan,Left Midfield,Retired,?,31,1
João Vilela,Central Midfield,Retired,?,32,1
Bruno Tiago,Central Midfield,Retired,free transfer,28,2
Elias,Defensive Midfield,Retired,free transfer,39,1
Braíma Injai,Defensive Midfield,Retired,free transfer,38,4
Paulo Arantes,Right-Back,FC Red Black,free transfer,36,2
João Pereira,Right-Back,Retired,free transfer,37,0
Luis Tinoco,Left-Back,Santa Maria,free transfer,34,1
João Pedro,Left-Back,Retired,free transfer,36,1
Grégory Arnolin,Centre-Back,Retired,End of loan,37,2
Vítor Oliveira,Goalkeeper,Retired,?,33,1
Paulo Jorge,Goalkeeper,Retired,-,43,1
Rui Miguel,Centre-Forward,União 1919,free transfer,37,2
Serjão,Centre-Forward,Retired,free transfer,34,1
Joeano,Centre-Forward,Retired,?,39,0
Luciano Fonseca,Right Winger,Retired,free transfer,32,0
Ito,Central Midfield,Retired,?,27,2
Dionattan,Central Midfield,Retired,-,29,1
Nuno Piloto,Central Midfield,Retired,free transfer,35,4
Paulo Adriano,Defensive Midfield,Retired,free transfer,37,1
Roberto Brum,Defensive Midfield,Retired,free transfer,35,1
Nuno Luís,Right-Back,Retired,free transfer,33,1
Lira,Left-Back,Cruzeiro-RS,free transfer,28,0
Ezequias,Left-Back,Independente-PA,?,39,1
Zé Castro,Centre-Back,Retired,-,39,5
Pedro Roma,Goalkeeper,Retired,End of loan,40,8
Nilson Sergipano,Centre-Forward,Retired,-,36,2
Gonçalo Abreu,Right Winger,Vedeggio,-,35,1
Kanú,Right Winger,Retired,?,33,0
Filipe Oliveira,Right Winger,Retired,-,34,0
Gustavo Manduca,Left Winger,Retired,free transfer,35,5
Marcinho,Attacking Midfield,Retired,?,39,0
Caíco,Attacking Midfield,Retired,free transfer,36,1
Olberdam,Central Midfield,Without Club,free transfer,30,1
Balú,Defensive Midfield,FC Setúbal,-,34,0
Jardel,Defensive Midfield,Araguainense,-,39,3
Mancuso,Defensive Midfield,Retired,free transfer,34,2
Fahel,Defensive Midfield,Retired,free transfer,37,2
Wênio,Defensive Midfield,Retired,?,36,1
Nuno Morais,Defensive Midfield,Retired,free transfer,35,12
Briguel,Right-Back,Retired,-,37,16
Miklós Gaál,Left-Back,Retired,-,33,0
Luís Olim,Left-Back,Retired,-,34,14
Fernando,Centre-Back,Retired,?,33,2
Mitchell van der Gaag,Centre-Back,Retired,free transfer,36,1
Nélson,Goalkeeper,Retired,free transfer,38,9
Marcos,Goalkeeper,Retired,free transfer,42,5
Miguel Fidalgo,Centre-Forward,Retired,free transfer,38,2
Georgi Chilikov,Centre-Forward,Retired,?,32,0
Nuno Viveiros,Right Winger,Retired,free transfer,36,1
Serginho Baiano,Left Winger,Retired,free transfer,34,1
Hernâni,Attacking Midfield,Retired,free transfer,36,9
Juliano Spadacio,Attacking Midfield,Retired,?,35,2
Ricardo Pateiro,Left Midfield,Retired,?,36,1
Bruno,Central Midfield,Retired,-,43,2
Genalvo,Defensive Midfield,Retired,free transfer,34,0
Luís Manuel,Defensive Midfield,Retired,free transfer,36,1
Cléber,Defensive Midfield,Without Club,free transfer,33,0
Patacas,Right-Back,Retired,?,33,9
Alonso,Left-Back,Without Club,free transfer,37,4
Émerson Nunes,Centre-Back,Retired,free transfer,30,2
Fernando Ávalos,Centre-Back,Retired,?,39,3
Fernando Cardozo,Defender,Retired,?,39,1
Diego Benaglio,Goalkeeper,Retired,free transfer,37,3
Cafú,Centre-Forward,Retired,free transfer,44,4
Fary,Centre-Forward,Retired,?,40,4
João Pinto,Second Striker,Retired,free transfer,37,2
Hugo Monteiro,Right Winger,Retired,End of loan,31,0
Zé Manuel,Right Winger,Retired,free transfer,41,1
Diogo Valente,Left Winger,Salgueiros,free transfer,37,2
Manuel José,Right Midfield,CD Candal,free transfer,37,1
Tiago,Defensive Midfield,Retired,free transfer,41,7
Areias,Left-Back,Retired,-,34,1
Cadú,Centre-Back,Retired,free transfer,39,2
Khadim Fayé,Goalkeeper,Retired,?,37,7
William,Goalkeeper,Retired,free transfer,40,1
Carlos Fernandes,Goalkeeper,Sernache,free transfer,41,1
Harison,Right Winger,Retired,free transfer,36,3
Paulo César,Right Winger,Retired,free transfer,36,1
Alioune Touré,Right Winger,Retired,free transfer,32,1
Maciel,Right Winger,Retired,free transfer,37,1
Vitor Pereira,Defensive Midfield,Retired,-,38,1
Paulo Gomes,Defensive Midfield,Retired,free transfer,35,1
Éder Bonfim,Right-Back,Retired,free transfer,32,2
Laranjeiro,Right-Back,Retired,free transfer,36,4
Damian Tixier,Left-Back,Retired,free transfer,35,1
Alhandra,Left-Back,Retired,free transfer,33,0
Gabriel,Centre-Back,Retired,free transfer,36,2
Renato,Centre-Back,Retired,-,36,1
João Paulo,Centre-Back,Castrense,-,38,2
Laurent Quiévreux,Goalkeeper,Retired,free transfer,31,2
Costinha,Goalkeeper,Retired,free transfer,36,3
Romeu,Centre-Forward,Retired,free transfer,33,2
Albert Meyong,Centre-Forward,Retired,?,37,1
Hassan Ahamada,Attacking Midfield,Retired,-,32,2
Ricardo Araújo,Central Midfield,Retired,free transfer,30,0
Rúben Amorim,Central Midfield,Retired,End of loan,32,1
José Pedro,Central Midfield,Retired,free transfer,36,1
Ivan Djurdjevic,Defensive Midfield,Retired,?,36,6
Sandro Gaúcho,Defensive Midfield,Retired,?,37,2
Sousa,Right-Back,Retired,free transfer,33,1
Rui Jorge,Left-Back,Retired,-,33,0
Gaspar,Centre-Back,Retired,?,39,1
Rolando,Centre-Back,Without Club,-,37,2
Pelé,Defender,Retired,free transfer,40,2
Marco Pinto,Goalkeeper,CD Aves 1930,-,32,1
Pedro Alves,Goalkeeper,Retired,free transfer,39,4
Marco Aurélio,Goalkeeper,Retired,?,37,9
Dário,Centre-Forward,Retired,?,37,2
Marek Saganowski,Centre-Forward,Retired,free transfer,38,4
Henri Antchouet,Centre-Forward,Retired,-,36,1
Wesley,Second Striker,Retired,free transfer,36,1
Tiago Targino,Right Winger,Retired,free transfer,35,1
Clayton,Left Winger,Retired,?,35,1
Emanuel Rivas,Left Winger,Retired,?,32,0
William Kwabena Tiero,Attacking Midfield,Retired,?,32,1
Neca,Attacking Midfield,Retired,free transfer,38,2
Paco Gallardo,Right Midfield,Retired,free transfer,34,1
Flávio Meireles,Defensive Midfield,Retired,?,35,8
Zezinho,Right-Back,Retired,?,34,2
Mário Sérgio,Right-Back,Aliados Lordelo,free transfer,41,1
Hélder Cabral,Left-Back,Com. Indústria,free transfer,35,1
Rogério Matias,Left-Back,Retired,-,35,1
Paíto,Left-Back,Retired,-,35,1
Pedro Geromel,Centre-Back,Grêmio,End of loan,31,0
Moreno,Centre-Back,Retired,free transfer,37,5
Attila Dragóner,Centre-Back,Retired,free transfer,38,1
Cléber,Centre-Back,Retired,free transfer,37,1
Pedro Freitas,Goalkeeper,Marco,free transfer,36,1
Nilson,Goalkeeper,Retired,free transfer,41,1
Márcio Paiva,Goalkeeper,Retired,free transfer,41,2
Dong-hyun Kim,Centre-Forward,Retired,End of loan,27,0
João Tomás,Centre-Forward,Retired,?,39,1
Césinha,Second Striker,Retired,free transfer,39,0
Pedro Pereira,Right Winger,GD Prado,free transfer,36,2
Matheus,Right Winger,ZJ FC,-,38,0
Davide Dias,Right Winger,Retired,free transfer,35,2
Wender,Left Winger,Retired,-,38,1
Carlos Marinelli,Attacking Midfield,Retired,free transfer,33,4
Candido Costa,Right Midfield,Retired,free transfer,34,1
Castanheira,Central Midfield,Retired,?,36,1
Vandinho,Central Midfield,Retired,free transfer,37,1
João Alves,Central Midfield,Retired,?,35,1
Andrés Madrid,Defensive Midfield,Retired,?,35,1
Pedro Costa,Right-Back,Retired,?,34,3
Luís Filipe,Right-Back,Retired,free transfer,35,3
Abel Ferreira,Right-Back,Retired,€750Th.,32,5
Rossato,Left-Back,Retired,-,36,2
Nem,Centre-Back,Retired,free transfer,35,1
Paulo Jorge,Centre-Back,Retired,free transfer,35,1
José Nunes,Centre-Back,Retired,€2.50m,37,8
Eduardo,Goalkeeper,Retired,free transfer,38,1
Paulo Santos,Goalkeeper,Retired,free transfer,39,2
Elpídio Silva,Centre-Forward,Retired,free transfer,34,0
Koke,Centre-Forward,Retired,-,34,1
Deivid,Centre-Forward,Retired,free transfer,35,2
Liedson,Centre-Forward,Retired,End of loan,36,1
Ricardo Sá Pinto,Second Striker,Retired,free transfer,35,1
Bruno Pereirinha,Right Winger,Retired,free transfer,31,1
Nani,Left Winger,Melbourne,free transfer,36,0
David Caiado,Attacking Midfield,Coimbra,free transfer,35,1
Leandro Romagnoli,Attacking Midfield,Retired,free transfer,37,9
Carlos Martins,Attacking Midfield,Retired,free transfer,34,1
João Moutinho,Central Midfield,Wolves,€25.00m,32,5
José Semedo,Defensive Midfield,Vitória Setúbal,-,32,0
Luís Loureiro,Defensive Midfield,Retired,-,34,1
Rogério,Right-Back,Retired,free transfer,32,1
Hugo,Centre-Back,Retired,free transfer,37,4
Tonel,Centre-Back,Retired,free transfer,36,1
Beto,Centre-Back,Retired,-,35,0
Polga,Centre-Back,Retired,End of loan,34,0
Tiago Ferreira,Goalkeeper,Retired,End of loan,37,11
Adriano,Centre-Forward,Retired,-,40,0
Tomislav Sokota,Centre-Forward,Retired,free transfer,34,1
Hugo Almeida,Centre-Forward,Retired,free transfer,36,2
Hélder Postiga,Centre-Forward,Retired,free transfer,35,1
Lisandro López,Centre-Forward,Sarmiento Junin,-,39,1
Ivanildo,Right Winger,Retired,free transfer,30,3
Alan,Right Winger,Retired,free transfer,38,9
Hélder Barbosa,Left Winger,Without Club,free transfer,35,1
Bruno Gama,Left Winger,AEK Larnaca,free transfer,35,4
Jorginho,Attacking Midfield,Retired,-,38,2
Ibson,Central Midfield,Nacional (MG),free transfer,39,1
Raúl Meireles,Central Midfield,Retired,€10.00m,33,4
Anderson,Central Midfield,Retired,-,31,1
Diego,Central Midfield,Flamengo,free transfer,31,2
Lucho González,Central Midfield,Retired,-,40,5
Nuno Coelho,Defensive Midfield,Without Club,?,35,2
Paulo Assunção,Defensive Midfield,Retired,-,34,0
Fatih Sonkaya,Right-Back,Retired,free transfer,38,1
João Pedro,Centre-Back,AC Bougadense,-,34,1
Jorge Costa,Centre-Back,Retired,free transfer,35,0
Bruno Alves,Centre-Back,Retired,-,41,1
Pedro Emanuel,Centre-Back,Retired,?,34,7
Pepe,Centre-Back,FC Porto,-,36,0
Hugo Marques,Goalkeeper,Petro Luanda,free transfer,36,1
Paulo Ribeiro,Goalkeeper,Retired,free transfer,35,1
Vítor Baía,Goalkeeper,Retired,free transfer,38,8
Helton,Goalkeeper,Retired,-,43,1
Mantorras,Centre-Forward,Retired,-,30,1
Fabrizio Miccoli,Centre-Forward,Retired,free transfer,37,1
Nuno Gomes,Centre-Forward,Retired,free transfer,38,2
Andrey Karyaka,Left Winger,Retired,free transfer,36,2
Laurent Robert,Left Winger,Retired,free transfer,34,1
Simão,Left Winger,Retired,-,37,1
João Coimbra,Attacking Midfield,Retired,free transfer,35,3
Nuno Assis,Attacking Midfield,Retired,free transfer,39,4
Geovanni,Attacking Midfield,Retired,-,33,0
Manuel Fernandes,Attacking Midfield,Sepahan,free transfer,36,0
Georgios Karagounis,Central Midfield,Retired,free transfer,37,2
Petit,Defensive Midfield,Retired,free transfer,37,1
Alex,Right-Back,Retired,free transfer,34,4
Léo,Left-Back,Retired,free transfer,39,5
Ricardo Rocha,Centre-Back,Retired,-,35,1
Luisão,Centre-Back,Retired,€1.00m,37,15
